KYTREASNOX,MCALDT,TMYTM
2000001,1925-12-31,3.6376987134609E+00
2000001,1926-01-30,3.6735017943861E+00
2000001,1926-02-27,3.1343535014403E+00
2000001,1926-03-31,3.1217732756321E+00
2000001,1926-04-30,2.7241584136566E+00
2000001,1926-05-28,3.2294858718116E+00
2000001,1926-06-30,2.9765604472625E+00
2000001,1926-07-31,3.2043868354761E+00
2000001,1926-08-31,3.4238256955060E+00
2000001,1926-09-30,3.6850256511330E+00
2000001,1926-10-30,3.5571867339458E+00
2000001,1926-11-30,3.2074566561036E+00
2000001,1926-12-31,3.1828769826073E+00
2000001,1927-01-31,3.3894751983041E+00
2000001,1927-02-28,3.4138959773439E+00
2000001,1927-03-31,3.3874211088319E+00
2000001,1927-04-30,3.5791622613104E+00
2000001,1927-05-31,3.2416748253276E+00
2000001,1927-06-30,3.2819559478739E+00
2000001,1927-07-30,3.0578517285543E+00
2000001,1927-08-31,2.7158229405056E+00
2000001,1927-09-30,2.7824213185423E+00
2000001,1927-10-31,2.6580418062937E+00
2000001,1927-11-30,3.1905525976184E+00
2000001,1927-12-31,3.4253546091937E+00
2000001,1928-01-31,3.9951201735464E+00
2000001,1928-02-29,3.3916915264236E+00
2000001,1928-03-31,3.3673773746182E+00
2000001,1928-04-30,3.8004824724327E+00
2000001,1928-05-31,3.8887669132856E+00
2000001,1928-06-30,3.9262802807140E+00
2000001,1928-07-31,4.0163875321756E+00
2000001,1928-08-31,4.4354213151840E+00
2000001,1928-09-29,4.8170962720651E+00
2000001,1928-10-31,4.6993965264464E+00
2000001,1928-11-30,4.2854236728153E+00
2000001,1928-12-31,4.3509047021663E+00
2000001,1929-01-31,4.6635832076384E+00
2000001,1929-02-28,4.6003315364368E+00
2000001,1929-03-28,4.6481804363149E+00
2000001,1929-04-30,5.1573093666158E+00
2000001,1929-05-31,5.1050925427056E+00
2000001,1929-06-29,4.5795501938565E+00
2000001,1929-07-31,5.1153035111356E+00
2000001,1929-08-30,4.5985830989506E+00
